Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
DAINAVA,Mokymo salė,,Y,Y,Teatro stilius: 30; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24; Banketo stilius: 30,
DAINAVA,Priešsalis,,Y,Y,Teatro stilius: 50; Klasės stilius: 40; U stilius: 30; Apvalaus stalo stilius: 30; Banketo stilius: 60,
DAINAVA,,,Y,Y,Teatro stilius: 30; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 24; Banketo stilius: 30,
DANIELA,Didžioji salė,,,Y,Teatro stilius: 100,
DANIELA,Mažoji salė,,,Y,Apvalaus stalo stilius: 8,
DANIELA,Vidutinė salė,,,Y,Teatro stilius: 160; U stilius: 30,
DAUGIRDAS,Flambe,,,Y,Teatro stilius: 40; Klasės stilius: 30; U stilius: 22,Ekranas
DAUGIRDAS,Kolonų,,,Y,Teatro stilius: 60; Klasės stilius: 80; U stilius: 40,
DE LITA,,,,Y,Teatro stilius: 30; Klasės stilius: 16; U stilius: 16; Apvalaus stalo stilius: 16; Banketo stilius: 10,
DE LITA,,,,Y,Teatro stilius: 16; Apvalaus stalo stilius: 10; Banketo stilius: 5,
DEIMS,,,,Y,U stilius: 35,"Ekranas, Rašymo lenta"
DRUSKININKAI,,,Y,Y,Teatro stilius: 30; Klasės stilius: 20; U stilius: 22,"Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Tribūna, Video grotuvas"
DRUSKININKAI,,,Y,Y,Teatro stilius: 120; Klasės stilius: 67; U stilius: 60,"Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Tribūna, Video grotuvas"
DRUSKININKŲ SVEIKATINIMO IR POILSIO CENTRAS AQUA,,,,Y,Klasės stilius: 155,
DRUSKININKŲ SVEIKATINIMO IR POILSIO CENTRAS AQUA,,,,Y,Klasės stilius: 250,
DZŪKIJOS VIEŠBUTIS,,,Y,Y,Teatro stilius: 20,
DZŪKIJOS VIEŠBUTIS,,,Y,Y,Teatro stilius: 20,Ekranas
ECOTEL VILNIUS,Konferencijų salė,,Y,Y,Teatro stilius: 100,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Video grotuvas, Įranga garso įrašymui"
