Viešbutis,Salė,Plotas (kv. m.),Pobūviams,Konferencijoms,Viet. išdėst. ir sk.,Įranga
VANAGUPĖ,Alanta,72,Y,Y,Teatro stilius: 44; Klasės stilius: 30; U stilius: 24; Apvalaus stalo stilius: 32; Banketo stilius: 24,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANAGUPĖ,Danė,60,Y,Y,Teatro stilius: 36; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 32,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANAGUPĖ,Dubysa,312,Y,Y,Teatro stilius: 400; Klasės stilius: 200; Apvalaus stalo stilius: 184; Banketo stilius: 200,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANAGUPĖ,Erla,211,Y,Y,Teatro stilius: 145; Klasės stilius: 90; U stilius: 65; Apvalaus stalo stilius: 88; Banketo stilius: 56,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANAGUPĖ,Jūra,60,Y,Y,Teatro stilius: 36; Klasės stilius: 24; U stilius: 20; Apvalaus stalo stilius: 32,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANAGUPĖ,Minija,170,Y,Y,Teatro stilius: 198,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Scena, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANAGUPĖ,Šventoji,139,Y,Y,Teatro stilius: 65; Klasės stilius: 40; U stilius: 25; Apvalaus stalo stilius: 40; Banketo stilius: 24,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANAGUPĖ,Venta,139,Y,Y,Teatro stilius: 100; Klasės stilius: 60; U stilius: 40; Apvalaus stalo stilius: 48; Banketo stilius: 40,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Sinchroninis vertimas, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VANDENIS,,,Y,Y,Teatro stilius: 150,"CD grotuvas, DVD grotuvas, Ekranas, Mikrofonas, Multimedia, Rašymo lenta, Skaidrių projektorius, TV, Video grotuvas, Įranga garso įrašymui"
VECEKRUG,,60,Y,Y,Teatro stilius: 40; Klasės stilius: 24; U stilius: 28; Apvalaus stalo stilius: 15; Banketo stilius: 45,"CD grotuvas, DVD grotuvas, Ekranas, Interneto ryšys, Oro kondicionierius, Rašymo lenta, TV, Video grotuvas"
VENTAINĖ,Biliardinė,40,Y,Y,Apvalaus stalo stilius: 20,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Lazerinė rodyklė, Mikrofonas, Multimedia, Rašymo lenta, Skaidrių projektorius, TV, Video grotuvas, Įranga garso įrašymui"
VENTAINĖ,Didžioji,110,Y,Y,Teatro stilius: 80,"CD grotuvas, DVD grotuvas, Diktofonas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas, Įranga garso įrašymui"
VENTAINĖ,Mažoji,45,Y,Y,Apvalaus stalo stilius: 30,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Lazerinė rodyklė, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Sinchroninis vertimas, Skaidrių projektorius, TV, Telefonas, Video grotuvas, Įranga garso įrašymui"
VĖTRA,,,,Y,Klasės stilius: 15,
VIA BALTICA,,,,Y,Klasės stilius: 100,
VIA BALTICA,,,,Y,U stilius: 200,
"VIEŠBUTIS ""BANGA""",,,,Y,Klasės stilius: 40,"Ekranas, Grafinis projektorius"
VIEVIJA,,,Y,,Banketo stilius: 60,
VIKTORIJA,,,Y,Y,Klasės stilius: 100,"Grafinis projektorius, Multimedia, Rašymo lenta, TV, Video grotuvas, Video projektorius"
VIKTORIJA,,,Y,Y,Klasės stilius: 50,
VIKTORIJOS VIEŠBUTIS,,,Y,Y,Teatro stilius: 7,
VIKTORIJOS VIEŠBUTIS,,,Y,Y,Teatro stilius: 24,
VILA FLORA,,,,Y,Klasės stilius: 30,"Ekranas, Rašymo lenta, Video projektorius"
VILA SENJORA,,,Y,Y,Banketo stilius: 80,
VILA ULA,,,Y,Y,Klasės stilius: 48,
VILA VALAKAMPIAI,Banketinė kolonų,,Y,Y,Banketo stilius: 30,
VILA VALAKAMPIAI,Didžioji,,,Y,Teatro stilius: 100; Klasės stilius: 60; Banketo stilius: 70,Ekranas
VILA VALAKAMPIAI,Mažoji salė,,Y,Y,Teatro stilius: 30; Klasės stilius: 80; Banketo stilius: 16,Ekranas
VILA VINGIS,,,Y,Y,Teatro stilius: 60; Klasės stilius: 30,
VILIJA,,,Y,Y,Teatro stilius: 20,
VINGIS,,,,Y,Teatro stilius: 70; Klasės stilius: 36; U stilius: 25; Apvalaus stalo stilius: 30; Banketo stilius: 54,"CD grotuvas, DVD grotuvas, Interneto ryšys, Multimedia, Oro kondicionierius, Popierius, Rašymo lenta, Skaidrių projektorius, Telefonas"
VIOLETA,,,Y,Y,Teatro stilius: 50; Klasės stilius: 20; U stilius: 32; Apvalaus stalo stilius: 28,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Kompiuteris, Mikrofonas, Multimedia, Oro kondicionierius, Rašymo lenta, Skaidrių projektorius, TV, Telefonas, Tribūna, Video grotuvas"
VYTURYS,Klasė,40,Y,Y,Klasės stilius: 30,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Popierius, Rašymo lenta, TV, Tribūna, Video grotuvas, Įranga garso įrašymui"
VYTURYS,Koncertų salė,200,Y,Y,Teatro stilius: 220,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Popierius, Rašymo lenta, Scena, TV, Tribūna, Video grotuvas, Įranga garso įrašymui"
VYTURYS,Pobūvių salė,52,Y,Y,U stilius: 24,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Popierius, Rašymo lenta, TV, Tribūna, Video grotuvas, Įranga garso įrašymui"
VYTURYS,Restorano salė,200,Y,Y,Banketo stilius: 150,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Popierius, Rašymo lenta, TV, Tribūna, Video grotuvas, Įranga garso įrašymui"
VYTURYS,Valgyklos,200,Y,Y,Banketo stilius: 150,"CD grotuvas, DVD grotuvas, Ekranas, Grafinis projektorius, Interneto ryšys, Mikrofonas, Multimedia, Popierius, Rašymo lenta, Scena, TV, Tribūna, Video grotuvas, Įranga garso įrašymui"
VIVA GREEN RESORT,Mėlynoji,,,Y,Teatro stilius: 40; Klasės stilius: 40; U stilius: 25; Banketo stilius: 40,"Ekranas, Grafinis projektorius, Rašymo lenta"
VIVA GREEN RESORT,Pušyno,,,Y,U stilius: 60,
VIVA GREEN RESORT,Žalioji,,,Y,Teatro stilius: 80; Klasės stilius: 80; U stilius: 40; Banketo stilius: 80,"Ekranas, Grafinis projektorius, Rašymo lenta, Video projektorius"
ŽYDROJI LIEPSNA,,60,Y,Y,Teatro stilius: 60; Klasės stilius: 30; U stilius: 20; Apvalaus stalo stilius: 30; Banketo stilius: 30,"Ekranas, Multimedia, Oro kondicionierius, Rašymo lenta"
ŽILINA,,,Y,Y,Klasės stilius: 25,
ŽILVINAS,Banketinė salė,,Y,Y,U stilius: 24,
ŽILVINAS,Didžioji salė,,Y,Y,Teatro stilius: 100,
ŽILVINAS,Gedimino 6 salė,,Y,Y,Apvalaus stalo stilius: 24,
ŽILVINAS,Mažoji banketinė salė,,Y,Y,Apvalaus stalo stilius: 12,
ŽILVINAS,Restorano salė,,Y,Y,Banketo stilius: 80,
ŽUVĖDRA,,,,Y,Klasės stilius: 40,
